8f71d30b::2f,200, 日语, 外国语学院,20, 历史, 无
fa1b8e7d::61,201, 土地资源管理（创新班）, 管理学院,20, 历史, 无
038bf899::de,201, 土地资源管理, 管理学院,25, 历史, 无
82045313::9f,202, 电子商务, 管理学院,65, 历史, 无
44aae383::11,202, 工商管理类, 管理学院,183, 历史, 无
cf0ae349::09,202, 会计学, 管理学院,86, 历史, 无
f2c234ab::54,203, 法学, 法学院,114, 历史, 无
ee400922::3d,203, 社会工作, 法学院,12, 历史, 无
88e0761f::75,204, 国际经济与贸易, 经济学院,57, 历史, 无
89e70803::e3,204, 金融工程, 经济学院,100, 历史, 无
bace0825::b6,204, 经济学, 经济学院,29, 历史, 无
da81ef29::f7,282, 外国语言文学类, 外国语学院,177, 历史, 无
60bd23de::2b,205, 电气工程及其自动化, 自动化学院,262, 物理, 无
71376ed2::22,205, 自动化（创新班）, 自动化学院,20, 物理, 无
17fff761::70,205, 自动化类, 自动化学院,309, 物理, 无
42edd555::a5,206, 数据科学与大数据技术, 自动化学院,90, 物理, 无
0fb1d644::df,206, 物联网工程, 自动化学院,90, 物理, 无
bd6e781b::9c,208, 材料类（创新班）, 材料与能源学院,35, 物理, 无
c0a3b18e::c5,208, 材料类, 材料与能源学院,180, 物理, 无
cd0df71d::97,209, 材料成型及控制工程, 材料与能源学院,78, 物理, 无
57423851::e7,210, 能源动力类, 材料与能源学院,175, 物理, 无
b9f214f4::91,211, 测控技术与仪器, 机电工程学院,76, 物理, 无
77840673::22,211, 车辆工程, 机电工程学院,66, 物理, 无
b8de3938::d0,211, 工业工程, 机电工程学院,75, 物理, 无
1e97bfdb::56,211, 机械电子工程（创新班）, 机电工程学院,20, 物理, 无
e789e95d::b2,211, 机械电子工程, 机电工程学院,202, 物理, 无
7f098fb9::92,211, 机械设计制造及其自动化, 机电工程学院,200, 物理, 无
fa13ddfd::70,211, 智能制造工程, 机电工程学院,60, 物理, 无
5467d621::84,213, 化学工程与工艺（创新班）, 轻工化工学院,40, 物理, 无
84edd6ec::34,213, 化学工程与工艺, 轻工化工学院,76, 物理, 无
e043acb1::ed,213, 能源化学工程, 轻工化工学院,20, 物理, 无
ba193c11::98,213, 食品科学与工程, 轻工化工学院,43, 物理, 无
d70d6863::7c,214, 电子信息工程（腾创班）, 信息工程学院,30, 物理, 无
82d1de12::ac,214, 电子信息类, 信息工程学院,579, 物理, 无
2c01a156::85,215, 测绘工程, 土木与交通工程学院,32, 物理, 无
dec07b79::ba,215, 城市地下空间工程, 土木与交通工程学院,30, 物理, 无
76f1d9bf::41,215, 道路桥梁与渡河工程, 土木与交通工程学院,55, 物理, 无
729c358a::7b,215, 给排水科学与工程, 土木与交通工程学院,50, 物理, 无
ed7f8ca3::18,215, 工程管理, 土木与交通工程学院,35, 物理, 无
a6035d13::95,215, 工程造价, 土木与交通工程学院,25, 物理, 无
3059ce0e::ab,215, 建筑环境与能源应用工程, 土木与交通工程学院,20, 物理, 无
ad7b5bb5::97,215, 土木工程, 土木与交通工程学院,29, 物理, 无
471a7de4::13,215, 土木工程（创新班）, 土木与交通工程学院,40, 物理, 无
6de6011f::3b,216, 计算机类, 计算机学院,644, 物理, 无
ee214056::f6,216, 人工智能（创新班）, 计算机学院,40, 物理, 无
d89232c1::d1,218, 安全工程, 环境科学与工程学院,55, 物理, 无
5625a759::b5,218, 环境工程, 环境科学与工程学院,63, 物理, 无
a068765a::ad,218, 环境科学（创新班）, 环境科学与工程学院,25, 物理, 无
ab05f0ff::a6,218, 环境科学, 环境科学与工程学院,30, 物理, 无
26fc5e42::da,219, 日语, 外国语学院,5, 物理, 无
96f5c499::85,220, 电子科学与技术（创新班）, 物理与光电工程学院,30, 物理, 无
0a1e9599::39,220, 电子科学与技术, 物理与光电工程学院,161, 物理, 无
cf1470b5::38,220, 光电信息科学与工程, 物理与光电工程学院,170, 物理, 无
e4f69388::19,220, 应用物理学, 物理与光电工程学院,30, 物理, 无
f7743ea6::df,221, 生物工程, 生物医药学院,29, 物理, 无
f7b193f5::2c,221, 生物医学工程, 生物医药学院,60, 物理, 无
99c8d313::1c,221, 制药工程, 生物医药学院,12, 物理, 无
e10d1bb1::36,222, 环境生态工程（创新班）, 生态环境与资源学院,35, 物理, 无
ed5ceb00::9e,222, 环境生态工程, 生态环境与资源学院,18, 物理, 无
e071267b::69,223, 集成电路设计与集成系统（创新班）, 集成电路学院,30, 物理, 无
d73fdb7e::41,223, 集成电路设计与集成系统, 集成电路学院,137, 物理, 无
0e3aec0f::88,223, 微电子科学与工程, 集成电路学院,90, 物理, 无
05cf9a78::fd,225, 数学类, 数学与统计学院,218, 物理, 无
71abbfb5::2b,225, 数学与应用数学（创新班）, 数学与统计学院,30, 物理, 无
f4571945::c4,226, 法学, 法学院,55, 物理, 无
7a08ee76::fc,227, 国际经济与贸易, 经济学院,33, 物理, 无
12777b45::43,227, 金融工程, 经济学院,44, 物理, 无
f4fa76fc::f3,227, 经济学, 经济学院,20, 物理, 无
011681ee::44,227, 数字经济, 经济学院,72, 物理, 无
07587101::a7,228, 城乡规划, 建筑与城市规划学院,17, 物理, 无
233bfebb::51,228, 城乡规划（国土空间规划创新班）, 建筑与城市规划学院,30, 物理, 无
4c7ee1f7::73,228, 风景园林, 建筑与城市规划学院,8, 物理, 无
c5fb2555::92,228, 建筑学, 建筑与城市规划学院,50, 物理, 无
2db81390::37,229, 交通运输, 土木与交通工程学院,33, 物理, 化学
359c7dde::9c,230, 应用化学, 轻工化工学院,126, 物理, 化学
6bf7cc19::69,231, 工业设计, 艺术与设计学院,66, 物理, 无
453bd3a6::df,231, 数字媒体技术, 艺术与设计学院,60, 物理, 无
3b7e8260::8e,232, 管理科学与工程类, 管理学院,138, 物理, 无
59daebe3::c5,232, 土地资源管理（创新班）, 管理学院,10, 物理, 无
d9382f35::70,232, 土地资源管理, 管理学院,10, 物理, 无
02362e88::d5,233, 电子商务, 管理学院,25, 物理, 无
08fc9539::47,233, 工商管理类, 管理学院,32, 物理, 无
65a87c38::a3,233, 会计学, 管理学院,48, 物理, 无
6ea5145d::49,283, 外国语言文学类, 外国语学院,76, 物理, 无
a38369fc::45,241, 产品设计, 艺术与设计学院,50, 无, 无
3febdfd7::82,241, 服装与服饰设计, 艺术与设计学院,54, 无, 无
d3114111::4e,241, 环境设计, 艺术与设计学院,52, 无, 无
d06c245f::c5,241, 美术学, 艺术与设计学院,60, 无, 无
ab5c082a::e3,241, 视觉传达设计, 艺术与设计学院,53, 无, 无
e2e5ba82::f9,241, 数字媒体艺术, 艺术与设计学院,80, 无, 无
530bbf34::ec,261, 工商管理（国际班）, 国际教育学院,59, 历史, 无
ea3d4a33::9e,262, 电气工程及其自动化（国际班）, 国际教育学院,68, 物理, 无
fd127374::cf,262, 工商管理（国际班）, 国际教育学院,8, 物理, 无
5fbcbf5c::35,262, 机械设计制造及其自动化（国际班）, 国际教育学院,28, 物理, 无
e81374f7::f6,262, 机械设计制造及其自动化（中德班）, 国际教育学院,30, 物理, 无
576bf690::31,262, 计算机科学与技术（国际班）, 国际教育学院,146, 物理, 无
115778cf::f5,262, 土木工程（国际班）, 国际教育学院,21, 物理, 无
07e92edf::b8,271, 电子商务, 管理学院,10, 历史, 无
6773e39b::d1,271, 工商管理类, 管理学院,20, 历史, 无
c570c4dc::88,271, 会计学, 管理学院,5, 历史, 无
ecb9941b::0a,271, 土地资源管理, 管理学院,5, 历史, 无
bcb2d8f5::13,271, 国际经济与贸易, 经济学院,5, 历史, 无
7a436bf7::83,271, 经济学, 经济学院,5, 历史, 无
caca227b::8c,271, 外国语言文学类, 外国语学院,5, 历史, 无
30df686e::34,271, 法学, 法学院,5, 历史, 无
68aef9e8::7f,272, 能源动力类, 材料与能源学院,10, 物理, 无
c43dd145::cb,272, 电子商务, 管理学院,10, 物理, 无
6469faaa::33,272, 工商管理类, 管理学院,35, 物理, 无
3c4c0607::2f,272, 管理科学与工程类, 管理学院,20, 物理, 无
c854bfd3::63,272, 会计学, 管理学院,10, 物理, 无
3b040156::e0,272, 土地资源管理, 管理学院,10, 物理, 无
c7446b4e::2d,272, 安全工程, 环境科学与工程学院,5, 物理, 无
d8b062ba::04,272, 环境工程, 环境科学与工程学院,10, 物理, 无
32c1153f::18,272, 机械设计制造及其自动化, 机电工程学院,10, 物理, 无
c61fb43e::4d,272, 化学工程与工艺, 轻工化工学院,10, 物理, 无
16c9283f::31,272, 能源化学工程, 轻工化工学院,5, 物理, 无
1dd6e2cc::5d,272, 食品科学与工程, 轻工化工学院,10, 物理, 无
fcdefa0b::fb,272, 生物工程, 生物医药学院,10, 物理, 无
6712e323::e4,272, 测绘工程, 土木与交通工程学院,10, 物理, 无
a5bf8f16::ae,272, 给排水科学与工程, 土木与交通工程学院,10, 物理, 无
7ac6e855::8c,272, 工程管理, 土木与交通工程学院,5, 物理, 无
065302b2::21,272, 工程造价, 土木与交通工程学院,5, 物理, 无
0bf6e4f9::fd,272, 建筑环境与能源应用工程, 土木与交通工程学院,10, 物理, 无
e291c248::15,272, 土木工程, 土木与交通工程学院,10, 物理, 无
2e433485::09,272, 日语, 外国语学院,5, 物理, 无
533b6290::6b,272, 数学类, 数学与统计学院,20, 物理, 无
73f86c78::9a,272, 法学, 法学院,10, 物理, 无
ae9254a8::05,281, 表演, 艺术与设计学院,2, 无, 无
08c44b82::bc,701, 工商管理, 管理学院, 无, 历史, 无
20d4e690::23,701, 国际经济与贸易, 经济学院, 无, 历史, 无
8a16f853::91,701, 经济学, 经济学院, 无, 历史, 无
bcc90cd6::e6,701, 社会工作, 法学院, 无, 历史, 无
c345cee0::c7,702, 工商管理, 管理学院, 无, 物理, 无
c413ffa6::bd,702, 国际经济与贸易, 经济学院, 无, 物理, 无
dc9cbecd::85,702, 经济学, 经济学院, 无, 物理, 无
d8b83109::cb,702, 社会工作, 法学院, 无, 物理, 无
