200, 日语, 外国语学院, 大学城, 20, 历史, 无, 普通类
201, 土地资源管理（创新班）, 管理学院, 龙洞, 20, 历史, 无, 普通类
201, 土地资源管理, 管理学院, 龙洞, 25, 历史, 无, 普通类
202, 电子商务, 管理学院, 龙洞, 65, 历史, 无, 普通类
202, 工商管理类, 管理学院, 龙洞, 183, 历史, 无, 普通类
202, 会计学, 管理学院, 龙洞, 86, 历史, 无, 普通类
203, 法学, 法学院, 龙洞, 114, 历史, 无, 普通类
203, 社会工作, 法学院, 龙洞, 12, 历史, 无, 普通类
204, 国际经济与贸易, 经济学院, 龙洞, 57, 历史, 无, 普通类
204, 金融工程, 经济学院, 龙洞, 100, 历史, 无, 普通类
204, 经济学, 经济学院, 龙洞, 29, 历史, 无, 普通类
282, 外国语言文学类, 外国语学院, 大学城, 177, 历史, 无, 普通类
205, 电气工程及其自动化, 自动化学院, 大学城, 262, 物理, 无, 普通类
205, 自动化（创新班）, 自动化学院, 大学城, 20, 物理, 无, 普通类
205, 自动化类, 自动化学院, 大学城, 309, 物理, 无, 普通类
206, 数据科学与大数据技术, 自动化学院, 大学城, 90, 物理, 无, 普通类
206, 物联网工程, 自动化学院, 大学城, 90, 物理, 无, 普通类
208, 材料类（创新班）, 材料与能源学院, 大学城, 35, 物理, 无, 普通类
208, 材料类, 材料与能源学院, 大学城, 180, 物理, 无, 普通类
209, 材料成型及控制工程, 材料与能源学院, 大学城, 78, 物理, 无, 普通类
210, 能源动力类, 材料与能源学院, 大学城, 175, 物理, 无, 普通类
211, 测控技术与仪器, 机电工程学院, 大学城, 76, 物理, 无, 普通类
211, 车辆工程, 机电工程学院, 大学城, 66, 物理, 无, 普通类
211, 工业工程, 机电工程学院, 大学城, 75, 物理, 无, 普通类
211, 机械电子工程（创新班）, 机电工程学院, 大学城, 20, 物理, 无, 普通类
211, 机械电子工程, 机电工程学院, 大学城, 202, 物理, 无, 普通类
211, 机械设计制造及其自动化, 机电工程学院, 大学城, 200, 物理, 无, 普通类
211, 智能制造工程, 机电工程学院, 大学城, 60, 物理, 无, 普通类
213, 化学工程与工艺（创新班）, 轻工化工学院, 大学城, 40, 物理, 无, 普通类
213, 化学工程与工艺, 轻工化工学院, 大学城, 76, 物理, 无, 普通类
213, 能源化学工程, 轻工化工学院, 大学城, 20, 物理, 无, 普通类
213, 食品科学与工程, 轻工化工学院, 大学城, 43, 物理, 无, 普通类
214, 电子信息工程（腾创班）, 信息工程学院, 大学城, 30, 物理, 无, 普通类
214, 电子信息类, 信息工程学院, 大学城, 579, 物理, 无, 普通类
215, 测绘工程, 土木与交通工程学院, 大学城, 32, 物理, 无, 普通类
215, 城市地下空间工程, 土木与交通工程学院, 大学城, 30, 物理, 无, 普通类
215, 道路桥梁与渡河工程, 土木与交通工程学院, 大学城, 55, 物理, 无, 普通类
215, 给排水科学与工程, 土木与交通工程学院, 大学城, 50, 物理, 无, 普通类
215, 工程管理, 土木与交通工程学院, 大学城, 35, 物理, 无, 普通类
215, 工程造价, 土木与交通工程学院, 大学城, 25, 物理, 无, 普通类
215, 建筑环境与能源应用工程, 土木与交通工程学院, 大学城, 20, 物理, 无, 普通类
215, 土木工程, 土木与交通工程学院, 大学城, 29, 物理, 无, 普通类
215, 土木工程（创新班）, 土木与交通工程学院, 大学城, 40, 物理, 无, 普通类
216, 计算机类, 计算机学院, 大学城, 644, 物理, 无, 普通类
216, 人工智能（创新班）, 计算机学院, 大学城, 40, 物理, 无, 普通类
218, 安全工程, 环境科学与工程学院, 大学城, 55, 物理, 无, 普通类
218, 环境工程, 环境科学与工程学院, 大学城, 63, 物理, 无, 普通类
218, 环境科学（创新班）, 环境科学与工程学院, 大学城, 25, 物理, 无, 普通类
218, 环境科学, 环境科学与工程学院, 大学城, 30, 物理, 无, 普通类
219, 日语, 外国语学院, 大学城, 5, 物理, 无, 普通类
220, 电子科学与技术（创新班）, 物理与光电工程学院, 大学城, 30, 物理, 无, 普通类
220, 电子科学与技术, 物理与光电工程学院, 大学城, 161, 物理, 无, 普通类
220, 光电信息科学与工程, 物理与光电工程学院, 大学城, 170, 物理, 无, 普通类
220, 应用物理学, 物理与光电工程学院, 大学城, 30, 物理, 无, 普通类
221, 生物工程, 生物医药学院, 大学城, 29, 物理, 无, 普通类
221, 生物医学工程, 生物医药学院, 大学城, 60, 物理, 无, 普通类
221, 制药工程, 生物医药学院, 大学城, 12, 物理, 无, 普通类
222, 环境生态工程（创新班）, 生态环境与资源学院, 大学城, 35, 物理, 无, 普通类
222, 环境生态工程, 生态环境与资源学院, 大学城, 18, 物理, 无, 普通类
223, 集成电路设计与集成系统（创新班）, 集成电路学院, 大学城, 30, 物理, 无, 普通类
223, 集成电路设计与集成系统, 集成电路学院, 大学城, 137, 物理, 无, 普通类
223, 微电子科学与工程, 集成电路学院, 大学城, 90, 物理, 无, 普通类
225, 数学类, 数学与统计学院, 龙洞, 218, 物理, 无, 普通类
225, 数学与应用数学（创新班）, 数学与统计学院, 龙洞, 30, 物理, 无, 普通类
226, 法学, 法学院, 龙洞, 55, 物理, 无, 普通类
227, 国际经济与贸易, 经济学院, 龙洞, 33, 物理, 无, 普通类
227, 金融工程, 经济学院, 龙洞, 44, 物理, 无, 普通类
227, 经济学, 经济学院, 龙洞, 20, 物理, 无, 普通类
227, 数字经济, 经济学院, 龙洞, 72, 物理, 无, 普通类
228, 城乡规划, 建筑与城市规划学院, 东风路, 17, 物理, 无, 普通类
228, 城乡规划（国土空间规划创新班）, 建筑与城市规划学院, 东风路, 30, 物理, 无, 普通类
228, 风景园林, 建筑与城市规划学院, 东风路, 8, 物理, 无, 普通类
