'8f71d30b::2f', 日语,200, 'F-LANG',20, 历史, 无
'fa1b8e7d::61', 土地资源管理（创新班）,201, 'F-MANG',20, 历史, 无
'038bf899::de', 土地资源管理,201, 'F-MANG',25, 历史, 无
'82045313::9f', 电子商务,202, 'F-MANG',65, 历史, 无
'44aae383::11', 工商管理类,202, 'F-MANG',183, 历史, 无
'cf0ae349::09', 会计学,202, 'F-MANG',86, 历史, 无
'f2c234ab::54', 法学,203, 'F-LAWS',114, 历史, 无
'ee400922::3d', 社会工作,203, 'F-LAWS',12, 历史, 无
'88e0761f::75', 国际经济与贸易,204, 'F-ECON',57, 历史, 无
'89e70803::e3', 金融工程,204, 'F-ECON',100, 历史, 无
'bace0825::b6', 经济学,204, 'F-ECON',29, 历史, 无
'da81ef29::f7', 外国语言文学类,282, 'F-LANG',177, 历史, 无
'60bd23de::2b', 电气工程及其自动化,205, 'F-AUTO',262, 物理, 无
'71376ed2::22', 自动化（创新班）,205, 'F-AUTO',20, 物理, 无
'17fff761::70', 自动化类,205, 'F-AUTO',309, 物理, 无
'42edd555::a5', 数据科学与大数据技术,206, 'F-AUTO',90, 物理, 无
'0fb1d644::df', 物联网工程,206, 'F-AUTO',90, 物理, 无
'bd6e781b::9c', 材料类（创新班）,208, 'F-MATE',35, 物理, 无
'c0a3b18e::c5', 材料类,208, 'F-MATE',180, 物理, 无
'cd0df71d::97', 材料成型及控制工程,209, 'F-MATE',78, 物理, 无
'57423851::e7', 能源动力类,210, 'F-MATE',175, 物理, 无
'b9f214f4::91', 测控技术与仪器,211, 'F-MECH',76, 物理, 无
'77840673::22', 车辆工程,211, 'F-MECH',66, 物理, 无
'b8de3938::d0', 工业工程,211, 'F-MECH',75, 物理, 无
'1e97bfdb::56', 机械电子工程（创新班）,211, 'F-MECH',20, 物理, 无
'e789e95d::b2', 机械电子工程,211, 'F-MECH',202, 物理, 无
'7f098fb9::92', 机械设计制造及其自动化,211, 'F-MECH',200, 物理, 无
'fa13ddfd::70', 智能制造工程,211, 'F-MECH',60, 物理, 无
'5467d621::84', 化学工程与工艺（创新班）,213, 'F-CHME',40, 物理, 无
'84edd6ec::34', 化学工程与工艺,213, 'F-CHME',76, 物理, 无
'e043acb1::ed', 能源化学工程,213, 'F-CHME',20, 物理, 无
'ba193c11::98', 食品科学与工程,213, 'F-CHME',43, 物理, 无
'd70d6863::7c', 电子信息工程（腾创班）,214, 'F-INFO',30, 物理, 无
'82d1de12::ac', 电子信息类,214, 'F-INFO',579, 物理, 无
'2c01a156::85', 测绘工程,215, 'F-CENG',32, 物理, 无
'dec07b79::ba', 城市地下空间工程,215, 'F-CENG',30, 物理, 无
'76f1d9bf::41', 道路桥梁与渡河工程,215, 'F-CENG',55, 物理, 无
'729c358a::7b', 给排水科学与工程,215, 'F-CENG',50, 物理, 无
'ed7f8ca3::18', 工程管理,215, 'F-CENG',35, 物理, 无
'a6035d13::95', 工程造价,215, 'F-CENG',25, 物理, 无
'3059ce0e::ab', 建筑环境与能源应用工程,215, 'F-CENG',20, 物理, 无
'ad7b5bb5::97', 土木工程,215, 'F-CENG',29, 物理, 无
'471a7de4::13', 土木工程（创新班）,215, 'F-CENG',40, 物理, 无
'6de6011f::3b', 计算机类,216, 'F-COMP',644, 物理, 无
'ee214056::f6', 人工智能（创新班）,216, 'F-COMP',40, 物理, 无
'd89232c1::d1', 安全工程,218, 'F-ENVE',55, 物理, 无
'5625a759::b5', 环境工程,218, 'F-ENVE',63, 物理, 无
'a068765a::ad', 环境科学（创新班）,218, 'F-ENVE',25, 物理, 无
'ab05f0ff::a6', 环境科学,218, 'F-ENVE',30, 物理, 无
'26fc5e42::da', 日语,219, 'F-LANG',5, 物理, 无
'96f5c499::85', 电子科学与技术（创新班）,220, 'F-PHYS',30, 物理, 无
'0a1e9599::39', 电子科学与技术,220, 'F-PHYS',161, 物理, 无
'cf1470b5::38', 光电信息科学与工程,220, 'F-PHYS',170, 物理, 无
'e4f69388::19', 应用物理学,220, 'F-PHYS',30, 物理, 无
'f7743ea6::df', 生物工程,221, 'F-BIOM',29, 物理, 无
'f7b193f5::2c', 生物医学工程,221, 'F-BIOM',60, 物理, 无
'99c8d313::1c', 制药工程,221, 'F-BIOM',12, 物理, 无
'e10d1bb1::36', 环境生态工程（创新班）,222, 'F-ECOL',35, 物理, 无
'ed5ceb00::9e', 环境生态工程,222, 'F-ECOL',18, 物理, 无
'e071267b::69', 集成电路设计与集成系统（创新班）,223, 'F-INTC',30, 物理, 无
'd73fdb7e::41', 集成电路设计与集成系统,223, 'F-INTC',137, 物理, 无
'0e3aec0f::88', 微电子科学与工程,223, 'F-INTC',90, 物理, 无
'05cf9a78::fd', 数学类,225, 'F-MATH',218, 物理, 无
